x,y,label
7.13803,-8.65667,0.00000
7.36602,-3.39522,2.00000
6.87059,0.29579,2.00000
-4.33883,-3.41886,1.00000
7.81191,-12.14991,0.00000
3.43056,-0.72452,2.00000
6.46957,-9.57643,0.00000
6.66641,-8.85417,0.00000
7.43061,-10.25531,0.00000
-5.07964,-5.32487,1.00000
-5.25555,-3.28055,1.00000
8.79270,-2.48182,2.00000
-4.10149,-2.66101,1.00000
-4.71847,-4.17345,1.00000
8.78591,-1.67511,2.00000
-6.11163,-1.97649,1.00000
8.04521,-0.57346,2.00000
-6.03707,-2.58752,1.00000
11.20364,-1.15394,2.00000
6.96826,-1.53624,2.00000
-6.23645,-3.05390,1.00000
-5.64275,-0.17039,1.00000
5.00788,-0.56990,2.00000
-4.50564,-2.92702,1.00000
5.23503,-1.26454,2.00000
9.99696,-2.57447,2.00000
6.23537,-7.40157,0.00000
9.75144,0.05406,2.00000
8.24589,-8.02060,0.00000
8.85357,0.30417,2.00000
-4.84948,-2.50189,1.00000
8.99165,-2.22788,2.00000
6.96783,-7.73266,0.00000
7.13776,2.31914,2.00000
-5.31363,-3.82173,1.00000
7.38091,-7.55127,0.00000
6.08393,-10.95480,0.00000
-3.41699,-0.82401,1.00000
8.27949,-2.21272,2.00000
8.31785,-8.82985,0.00000
-5.85503,-2.06471,1.00000
4.73354,-7.12745,0.00000
7.33479,-10.93381,0.00000
5.99661,-6.68759,0.00000
-6.88904,-1.26848,1.00000
6.26386,-10.67282,0.00000
7.83017,-9.00006,0.00000
7.67023,-10.56055,0.00000
9.13788,-4.01717,2.00000
8.59851,-7.19635,0.00000
5.51580,-10.46573,0.00000
9.19751,-9.04065,0.00000
-4.43770,-3.11038,1.00000
-5.92663,-4.12998,1.00000
5.90622,-8.54762,0.00000
7.39747,-1.52011,2.00000
9.38377,-7.78424,0.00000
-6.56064,-4.54822,1.00000
-2.15879,-4.97304,1.00000
7.26333,-1.94921,2.00000
7.30054,-10.00939,0.00000
-6.81904,-2.59270,1.00000
9.73892,-8.75115,0.00000
-5.26310,-5.33172,1.00000
6.62702,-9.24681,0.00000
6.84776,-6.55256,0.00000
7.66598,-9.14317,0.00000
7.08798,-2.53740,2.00000
6.38175,-6.73638,0.00000
7.85700,-4.82616,2.00000
6.77940,-11.37188,0.00000
7.43862,-3.38023,2.00000
7.46835,-3.05815,2.00000
5.16684,-8.38306,0.00000
-7.56434,-4.31273,1.00000
6.66447,-8.08843,0.00000
8.79518,-0.66964,2.00000
-5.93750,-3.70509,1.00000
9.22882,-2.10918,2.00000
7.07399,-1.99952,2.00000
6.33838,-10.28491,0.00000
7.56770,1.04376,2.00000
-6.60799,-4.34664,1.00000
8.06999,0.05514,2.00000
7.49929,-6.05501,0.00000
-5.52634,-1.75442,1.00000
-5.46556,-3.70512,1.00000
8.61057,-0.10842,2.00000
5.38609,-3.29093,2.00000
7.87640,-8.99988,0.00000
-6.32447,-4.04407,1.00000
7.43117,-2.02043,2.00000
6.19278,-8.76515,0.00000
-3.40246,-5.79393,1.00000
-8.77790,-2.39186,1.00000
-7.04810,-0.73033,1.00000
-3.49074,-3.31509,1.00000
-4.04503,-0.74738,1.00000
8.85879,-1.17219,2.00000
8.02477,-10.90800,0.00000
